doctor_id,molecule_id,month,alert_type,priority
DOC005,MOL01,2025-03,Competitive Displacement,HIGH
DOC050,MOL01,2025-04,Competitive Displacement,HIGH
DOC028,MOL01,2025-04,Competitive Displacement,HIGH
DOC032,MOL01,2025-05,Competitive Displacement,HIGH
DOC016,MOL01,2025-05,Competitive Displacement,HIGH
DOC043,MOL01,2025-05,Competitive Displacement,HIGH
DOC029,MOL01,2025-05,Competitive Displacement,HIGH
DOC022,MOL01,2025-05,Competitive Displacement,HIGH
DOC035,MOL01,2025-05,Competitive Displacement,HIGH
DOC017,MOL01,2025-06,Competitive Displacement,HIGH
DOC020,MOL02,2025-03,Competitive Displacement,HIGH
DOC046,MOL02,2025-04,Competitive Displacement,HIGH
DOC047,MOL02,2025-04,Competitive Displacement,HIGH
DOC007,MOL02,2025-04,Competitive Displacement,HIGH
DOC046,MOL02,2025-05,Competitive Displacement,HIGH
DOC036,MOL02,2025-05,Competitive Displacement,HIGH
DOC039,MOL02,2025-06,Competitive Displacement,HIGH
DOC013,MOL02,2025-06,Competitive Displacement,HIGH
DOC009,MOL02,2025-06,Competitive Displacement,HIGH
DOC016,MOL02,2025-06,Competitive Displacement,HIGH
DOC037,MOL02,2025-06,Competitive Displacement,HIGH
DOC021,MOL03,2025-03,Competitive Displacement,HIGH
DOC020,MOL03,2025-03,Competitive Displacement,HIGH
DOC037,MOL03,2025-04,Competitive Displacement,HIGH
DOC021,MOL03,2025-04,Competitive Displacement,HIGH
DOC011,MOL03,2025-04,Competitive Displacement,HIGH
DOC028,MOL03,2025-04,Competitive Displacement,HIGH
DOC009,MOL03,2025-05,Competitive Displacement,HIGH
DOC046,MOL03,2025-05,Competitive Displacement,HIGH
DOC027,MOL03,2025-05,Competitive Displacement,HIGH
DOC015,MOL03,2025-05,Competitive Displacement,HIGH
DOC048,MOL03,2025-05,Competitive Displacement,HIGH
DOC010,MOL03,2025-05,Competitive Displacement,HIGH
DOC040,MOL03,2025-06,Competitive Displacement,HIGH
DOC029,MOL03,2025-06,Competitive Displacement,HIGH
DOC025,MOL04,2025-04,Competitive Displacement,HIGH
DOC038,MOL04,2025-04,Competitive Displacement,HIGH
DOC039,MOL04,2025-04,Competitive Displacement,HIGH
DOC044,MOL04,2025-04,Competitive Displacement,HIGH
DOC014,MOL04,2025-05,Competitive Displacement,HIGH
DOC020,MOL04,2025-05,Competitive Displacement,HIGH
DOC011,MOL04,2025-05,Competitive Displacement,HIGH
DOC039,MOL04,2025-05,Competitive Displacement,HIGH
DOC010,MOL04,2025-05,Competitive Displacement,HIGH
DOC022,MOL04,2025-05,Competitive Displacement,HIGH
DOC034,MOL04,2025-05,Competitive Displacement,HIGH
DOC049,MOL04,2025-06,Competitive Displacement,HIGH
DOC008,MOL04,2025-06,Competitive Displacement,HIGH
DOC045,MOL04,2025-06,Competitive Displacement,HIGH
DOC037,MOL04,2025-06,Competitive Displacement,HIGH
DOC004,MOL05,2025-03,Competitive Displacement,HIGH
DOC024,MOL05,2025-03,Competitive Displacement,HIGH
DOC018,MOL05,2025-03,Competitive Displacement,HIGH
DOC012,MOL05,2025-03,Competitive Displacement,HIGH
DOC005,MOL05,2025-03,Competitive Displacement,HIGH
DOC046,MOL05,2025-03,Competitive Displacement,HIGH
DOC045,MOL05,2025-04,Competitive Displacement,HIGH
DOC047,MOL05,2025-05,Competitive Displacement,HIGH
DOC003,MOL05,2025-05,Competitive Displacement,HIGH
DOC020,MOL05,2025-05,Competitive Displacement,HIGH
DOC008,MOL05,2025-06,Competitive Displacement,HIGH
DOC048,MOL05,2025-06,Competitive Displacement,HIGH
DOC036,MOL05,2025-06,Competitive Displacement,HIGH
DOC041,MOL01,2025-02,Rank Collapse,HIGH
DOC003,MOL01,2025-02,Rank Collapse,HIGH
DOC020,MOL01,2025-02,Rank Collapse,HIGH
DOC030,MOL01,2025-02,Rank Collapse,HIGH
DOC033,MOL01,2025-02,Rank Collapse,HIGH
