chemist_id,molecule_id,month,units_sold,revenue_INR
CHEM087,MOL02,2025-06,128,4864
CHEM123,MOL02,2025-02,26,988
CHEM118,MOL01,2025-03,61,732
CHEM012,MOL02,2025-01,90,3420
CHEM080,MOL05,2025-04,149,1192
CHEM122,MOL03,2025-01,175,3850
CHEM049,MOL03,2025-03,22,484
CHEM085,MOL03,2025-01,104,2288
CHEM112,MOL04,2025-06,122,5490
CHEM099,MOL03,2025-02,137,3014
CHEM128,MOL03,2025-05,78,1716
CHEM022,MOL04,2025-01,120,5400
CHEM047,MOL05,2025-03,92,736
CHEM027,MOL01,2025-03,179,2148
CHEM076,MOL03,2025-04,164,3608
CHEM110,MOL02,2025-06,123,4674
CHEM090,MOL04,2025-01,196,8820
CHEM091,MOL05,2025-04,80,640
CHEM015,MOL01,2025-06,173,2076
CHEM104,MOL03,2025-05,183,4026
CHEM041,MOL01,2025-02,165,1980
CHEM113,MOL01,2025-02,27,324
CHEM061,MOL03,2025-03,108,2376
CHEM146,MOL01,2025-05,49,588
CHEM116,MOL03,2025-03,123,2706
CHEM020,MOL05,2025-02,145,1160
CHEM094,MOL04,2025-03,176,7920
CHEM072,MOL02,2025-01,16,608
CHEM048,MOL04,2025-05,109,4905
CHEM144,MOL01,2025-03,76,912
CHEM115,MOL02,2025-05,83,3154
CHEM126,MOL02,2025-01,44,1672
CHEM019,MOL04,2025-02,192,8640
CHEM114,MOL01,2025-06,91,1092
CHEM089,MOL01,2025-05,148,1776
CHEM075,MOL03,2025-02,192,4224
CHEM045,MOL03,2025-05,67,1474
CHEM032,MOL02,2025-02,70,2660
CHEM127,MOL01,2025-03,151,1812
CHEM147,MOL03,2025-04,151,3322
CHEM034,MOL05,2025-01,26,208
CHEM080,MOL04,2025-06,194,8730
CHEM123,MOL05,2025-04,114,912
CHEM148,MOL01,2025-02,91,1092
CHEM019,MOL04,2025-04,184,8280
CHEM133,MOL03,2025-02,151,3322
CHEM047,MOL02,2025-04,138,5244
CHEM015,MOL01,2025-05,49,588
CHEM078,MOL02,2025-02,92,3496
CHEM058,MOL03,2025-05,82,1804
CHEM021,MOL03,2025-02,172,3784
CHEM142,MOL03,2025-02,170,3740
CHEM078,MOL05,2025-05,33,264
CHEM129,MOL02,2025-05,158,6004
CHEM040,MOL02,2025-06,169,6422
CHEM087,MOL05,2025-01,17,136
CHEM021,MOL01,2025-06,157,1884
CHEM068,MOL02,2025-05,116,4408
CHEM008,MOL04,2025-06,149,6705
CHEM075,MOL03,2025-04,72,1584
CHEM104,MOL03,2025-04,28,616
CHEM016,MOL02,2025-04,116,4408
CHEM124,MOL04,2025-02,97,4365
CHEM037,MOL03,2025-06,91,2002
CHEM089,MOL04,2025-02,104,4680
CHEM132,MOL05,2025-01,91,728
CHEM062,MOL04,2025-01,78,3510
CHEM116,MOL02,2025-02,34,1292
CHEM013,MOL03,2025-04,167,3674
CHEM108,MOL02,2025-02,93,3534
CHEM148,MOL03,2025-02,50,1100
CHEM128,MOL05,2025-04,137,1096
CHEM079,MOL04,2025-01,33,1485
CHEM101,MOL05,2025-04,71,568
CHEM056,MOL05,2025-03,22,176
CHEM013,MOL03,2025-04,162,3564
CHEM121,MOL03,2025-05,12,264
CHEM028,MOL04,2025-02,77,3465
CHEM094,MOL04,2025-03,21,945
CHEM103,MOL01,2025-05,153,1836
CHEM050,MOL03,2025-05,83,1826
CHEM019,MOL04,2025-05,125,5625
CHEM141,MOL03,2025-05,184,4048
CHEM031,MOL02,2025-01,110,4180
CHEM096,MOL03,2025-05,103,2266
CHEM037,MOL02,2025-05,140,5320
CHEM103,MOL05,2025-01,21,168
CHEM010,MOL02,2025-06,95,3610
CHEM122,MOL05,2025-04,48,384
CHEM132,MOL02,2025-03,166,6308
CHEM082,MOL02,2025-04,167,6346
CHEM077,MOL05,2025-03,139,1112
CHEM131,MOL05,2025-04,191,1528
CHEM145,MOL03,2025-04,14,308
CHEM095,MOL03,2025-06,38,836
CHEM107,MOL05,2025-03,195,1560
CHEM007,MOL05,2025-04,77,616
CHEM149,MOL05,2025-02,194,1552
CHEM014,MOL05,2025-04,53,424
CHEM135,MOL05,2025-04,47,376
CHEM063,MOL01,2025-05,189,2268
CHEM029,MOL02,2025-01,122,4636
CHEM081,MOL04,2025-02,115,5175
CHEM053,MOL04,2025-05,166,7470
CHEM121,MOL01,2025-06,45,540
CHEM133,MOL02,2025-05,93,3534
CHEM123,MOL05,2025-04,90,720
CHEM045,MOL04,2025-05,97,4365
CHEM140,MOL03,2025-06,194,4268
CHEM068,MOL05,2025-04,59,472
CHEM064,MOL03,2025-05,86,1892
CHEM058,MOL03,2025-03,190,4180
CHEM054,MOL04,2025-03,132,5940
CHEM090,MOL05,2025-06,80,640
CHEM074,MOL01,2025-05,183,2196
CHEM140,MOL04,2025-04,98,4410
CHEM038,MOL03,2025-01,83,1826
CHEM021,MOL03,2025-04,177,3894
CHEM066,MOL04,2025-02,61,2745
CHEM138,MOL03,2025-05,188,4136
CHEM070,MOL02,2025-01,167,6346
CHEM062,MOL02,2025-01,181,6878
CHEM136,MOL02,2025-06,69,2622
CHEM014,MOL01,2025-04,94,1128
CHEM121,MOL01,2025-06,45,540
CHEM002,MOL05,2025-02,114,912
CHEM122,MOL04,2025-06,61,2745
CHEM074,MOL03,2025-03,175,3850
CHEM016,MOL01,2025-06,156,1872
CHEM060,MOL05,2025-06,195,1560
CHEM010,MOL02,2025-04,55,2090
CHEM010,MOL04,2025-04,57,2565
CHEM075,MOL01,2025-01,86,1032
CHEM146,MOL05,2025-01,95,760
CHEM073,MOL04,2025-06,149,6705
CHEM135,MOL04,2025-02,139,6255
CHEM120,MOL03,2025-02,38,836
CHEM085,MOL02,2025-06,127,4826
CHEM066,MOL02,2025-01,198,7524
CHEM087,MOL03,2025-05,182,4004
CHEM050,MOL02,2025-05,173,6574
CHEM104,MOL04,2025-05,93,4185
CHEM023,MOL04,2025-06,34,1530
CHEM048,MOL02,2025-04,92,3496
CHEM064,MOL01,2025-03,108,1296
CHEM061,MOL04,2025-03,94,4230
CHEM078,MOL05,2025-06,156,1248
CHEM003,MOL03,2025-06,102,2244
CHEM061,MOL01,2025-06,40,480
CHEM120,MOL03,2025-02,113,2486
CHEM129,MOL03,2025-06,40,880
CHEM076,MOL03,2025-05,66,1452
CHEM057,MOL02,2025-04,49,1862
CHEM117,MOL05,2025-03,116,928
CHEM141,MOL04,2025-05,180,8100
CHEM056,MOL02,2025-06,162,6156
CHEM021,MOL05,2025-04,145,1160
CHEM093,MOL01,2025-05,38,456
CHEM016,MOL05,2025-05,61,488
CHEM147,MOL05,2025-02,52,416
CHEM084,MOL05,2025-04,39,312
CHEM053,MOL05,2025-04,33,264
CHEM131,MOL04,2025-01,126,5670
CHEM034,MOL05,2025-04,126,1008
CHEM145,MOL01,2025-05,128,1536
CHEM079,MOL01,2025-04,75,900
CHEM001,MOL02,2025-05,28,1064
CHEM012,MOL04,2025-03,189,8505
CHEM017,MOL05,2025-01,27,216
CHEM121,MOL01,2025-03,114,1368
CHEM047,MOL02,2025-06,196,7448
CHEM108,MOL03,2025-04,124,2728
CHEM097,MOL04,2025-01,184,8280
CHEM139,MOL02,2025-06,99,3762
CHEM031,MOL02,2025-05,110,4180
CHEM136,MOL02,2025-06,67,2546
CHEM001,MOL01,2025-03,128,1536
