chemist_id,name,lat,lon,pincode,area,monthly_footfall,chemist_type
CHEM001,Ganesh Pharmacy,19.11420316461543,72.82841399649949,400010,Borivali,535,standalone
CHEM002,Wellness Medico,19.06616287140946,72.90985541885271,400003,Ghatkopar,946,standalone
CHEM003,Sai Medical,19.110642905965957,72.82091970516166,400003,Ghatkopar,709,hospital_attached
CHEM004,Care Pharmacy,19.060147154286604,72.88635017691081,400008,Bandra,579,hospital_attached
CHEM005,Mahalaxmi Medical & General Stores,19.05050615838462,72.83608080514175,400007,Ghatkopar,612,hospital_attached
CHEM006,Apollo Chemist,19.10487337893666,72.88918951976927,400002,Powai,140,chain
CHEM007,Krishna Drug House,19.11519612595026,72.84242693094605,400005,Andheri,193,standalone
CHEM008,Care Drug House,19.121217922134754,72.84372490874968,400001,Ghatkopar,690,standalone
CHEM009,Om Chemist,19.082539969815926,72.8946491405118,400009,Kurla,384,standalone
CHEM010,Care Chemist,19.114963289904722,72.90492234104941,400008,Bandra,581,chain
CHEM011,Jai Pharmacy,19.115761289230033,72.87683086033354,400006,Bandra,978,standalone
CHEM012,Krishna Chemist,19.05936747678281,72.85677158030595,400008,Ghatkopar,778,chain
CHEM013,Wellness Medical,19.07652023676817,72.8443989643379,400008,Bandra,422,chain
CHEM014,Krishna Medical,19.147301055475243,72.85930977246667,400007,Chembur,944,standalone
CHEM015,Wellness Chemist,19.13920465551771,72.88311386259973,400007,Andheri,292,hospital_attached
CHEM016,Krishna Drug House,19.129481130354165,72.87026370931052,400008,Kurla,878,standalone
CHEM017,Ganesh Pharmacy,19.107690388462636,72.86925176938189,400009,Dadar,394,chain
CHEM018,Apollo Medical,19.069524298779804,72.89224521152614,400001,Powai,918,standalone
CHEM019,Om Pharmacy,19.078077236244084,72.82243159664314,400009,Andheri,665,chain
CHEM020,Sai Medico,19.114547229590716,72.8377110679407,400002,Kurla,220,hospital_attached
CHEM021,Om Chemist,19.14404585843529,72.91539285770025,400005,Chembur,822,chain
