order_id,distributor_id,chemist_id,molecule_id,month,units_ordered,order_type,first_time_flag
ORD0001,DIST002,CHEM065,MOL04,2025-06,172,new_sku,1
ORD0002,DIST001,CHEM093,MOL01,2025-06,131,new_sku,1
ORD0003,DIST002,CHEM061,MOL04,2025-03,27,new_sku,1
ORD0004,DIST002,CHEM071,MOL05,2025-01,222,new_sku,1
ORD0005,DIST005,CHEM003,MOL01,2025-05,263,new_sku,1
ORD0006,DIST002,CHEM040,MOL03,2025-01,147,new_sku,1
ORD0007,DIST001,CHEM128,MOL01,2025-06,193,new_sku,1
ORD0008,DIST005,CHEM016,MOL03,2025-06,98,new_sku,1
ORD0009,DIST003,CHEM028,MOL02,2025-04,139,new_sku,1
ORD0010,DIST001,CHEM143,MOL03,2025-04,118,new_sku,1
ORD0011,DIST003,CHEM097,MOL03,2025-06,88,new_sku,1
ORD0012,DIST005,CHEM011,MOL04,2025-06,244,new_sku,1
ORD0013,DIST002,CHEM076,MOL05,2025-06,270,new_sku,1
ORD0014,DIST003,CHEM146,MOL02,2025-05,198,new_sku,1
ORD0015,DIST001,CHEM120,MOL03,2025-05,102,new_sku,1
ORD0016,DIST003,CHEM136,MOL02,2025-04,171,new_sku,1
ORD0017,DIST005,CHEM139,MOL03,2025-04,20,new_sku,1
ORD0018,DIST005,CHEM098,MOL02,2025-01,206,new_sku,1
ORD0019,DIST005,CHEM062,MOL03,2025-06,52,new_sku,1
ORD0020,DIST005,CHEM100,MOL02,2025-05,274,new_sku,1
ORD0021,DIST004,CHEM040,MOL05,2025-03,185,new_sku,1
ORD0022,DIST001,CHEM083,MOL01,2025-01,287,new_sku,1
ORD0023,DIST002,CHEM012,MOL02,2025-02,36,new_sku,1
ORD0024,DIST001,CHEM028,MOL04,2025-02,70,new_sku,1
ORD0025,DIST005,CHEM147,MOL04,2025-06,270,new_sku,1
ORD0026,DIST005,CHEM066,MOL01,2025-03,133,new_sku,1
ORD0027,DIST001,CHEM019,MOL01,2025-02,271,new_sku,1
ORD0028,DIST003,CHEM120,MOL01,2025-03,232,new_sku,1
ORD0029,DIST001,CHEM015,MOL05,2025-03,290,new_sku,1
ORD0030,DIST005,CHEM019,MOL03,2025-01,130,new_sku,1
ORD0031,DIST005,CHEM025,MOL01,2025-06,138,new_sku,1
ORD0032,DIST002,CHEM099,MOL02,2025-02,289,new_sku,1
ORD0033,DIST001,CHEM146,MOL02,2025-05,232,routine,0
ORD0034,DIST004,CHEM148,MOL03,2025-06,254,new_sku,1
ORD0035,DIST005,CHEM027,MOL02,2025-02,225,new_sku,1
ORD0036,DIST003,CHEM087,MOL02,2025-05,246,new_sku,1
ORD0037,DIST004,CHEM081,MOL05,2025-03,210,new_sku,1
ORD0038,DIST005,CHEM111,MOL03,2025-05,143,new_sku,1
ORD0039,DIST003,CHEM140,MOL02,2025-04,150,new_sku,1
ORD0040,DIST001,CHEM116,MOL04,2025-04,20,new_sku,1
ORD0041,DIST002,CHEM073,MOL05,2025-01,285,new_sku,1
ORD0042,DIST002,CHEM078,MOL01,2025-03,133,new_sku,1
ORD0043,DIST005,CHEM081,MOL01,2025-06,161,new_sku,1
ORD0044,DIST001,CHEM131,MOL05,2025-05,99,new_sku,1
ORD0045,DIST002,CHEM010,MOL04,2025-03,99,new_sku,1
ORD0046,DIST002,CHEM068,MOL03,2025-05,147,new_sku,1
ORD0047,DIST005,CHEM066,MOL03,2025-01,224,new_sku,1
ORD0048,DIST004,CHEM056,MOL01,2025-06,186,new_sku,1
ORD0049,DIST005,CHEM045,MOL04,2025-06,68,new_sku,1
ORD0050,DIST001,CHEM077,MOL01,2025-06,215,new_sku,1
ORD0051,DIST004,CHEM015,MOL03,2025-03,242,new_sku,1
ORD0052,DIST004,CHEM031,MOL02,2025-06,25,new_sku,1
ORD0053,DIST003,CHEM014,MOL03,2025-05,41,new_sku,1
ORD0054,DIST005,CHEM139,MOL05,2025-02,187,new_sku,1
ORD0055,DIST004,CHEM057,MOL02,2025-01,221,new_sku,1
ORD0056,DIST004,CHEM148,MOL05,2025-01,133,new_sku,1
ORD0057,DIST003,CHEM075,MOL04,2025-02,87,new_sku,1
ORD0058,DIST005,CHEM022,MOL04,2025-05,45,new_sku,1
ORD0059,DIST005,CHEM103,MOL03,2025-01,224,new_sku,1
ORD0060,DIST005,CHEM112,MOL02,2025-02,266,new_sku,1
ORD0061,DIST005,CHEM051,MOL04,2025-04,120,new_sku,1
ORD0062,DIST003,CHEM135,MOL02,2025-02,56,new_sku,1
ORD0063,DIST001,CHEM111,MOL03,2025-06,65,routine,0
ORD0064,DIST002,CHEM106,MOL04,2025-03,198,new_sku,1
ORD0065,DIST003,CHEM083,MOL03,2025-05,32,new_sku,1
ORD0066,DIST005,CHEM044,MOL03,2025-05,246,new_sku,1
ORD0067,DIST002,CHEM038,MOL04,2025-01,139,new_sku,1
ORD0068,DIST001,CHEM096,MOL02,2025-06,63,new_sku,1
ORD0069,DIST003,CHEM014,MOL02,2025-05,95,new_sku,1
ORD0070,DIST003,CHEM004,MOL03,2025-06,76,new_sku,1
ORD0071,DIST002,CHEM116,MOL04,2025-01,189,routine,0
ORD0072,DIST005,CHEM138,MOL02,2025-02,299,new_sku,1
ORD0073,DIST001,CHEM067,MOL05,2025-04,92,new_sku,1
ORD0074,DIST001,CHEM097,MOL05,2025-06,289,new_sku,1
ORD0075,DIST002,CHEM066,MOL02,2025-01,165,new_sku,1
ORD0076,DIST001,CHEM070,MOL01,2025-04,24,new_sku,1
ORD0077,DIST001,CHEM100,MOL03,2025-06,204,new_sku,1
ORD0078,DIST002,CHEM005,MOL03,2025-06,217,new_sku,1
ORD0079,DIST003,CHEM098,MOL05,2025-06,70,new_sku,1
ORD0080,DIST002,CHEM125,MOL05,2025-05,65,new_sku,1
ORD0081,DIST001,CHEM051,MOL05,2025-04,31,new_sku,1
ORD0082,DIST004,CHEM064,MOL05,2025-03,190,new_sku,1
ORD0083,DIST003,CHEM101,MOL02,2025-01,197,new_sku,1
ORD0084,DIST003,CHEM091,MOL03,2025-02,276,new_sku,1
ORD0085,DIST005,CHEM016,MOL03,2025-04,35,routine,0
ORD0086,DIST004,CHEM072,MOL02,2025-02,194,new_sku,1
ORD0087,DIST005,CHEM036,MOL01,2025-06,215,new_sku,1
ORD0088,DIST004,CHEM059,MOL04,2025-02,98,new_sku,1
ORD0089,DIST005,CHEM080,MOL05,2025-03,249,new_sku,1
ORD0090,DIST005,CHEM034,MOL02,2025-06,90,new_sku,1
ORD0091,DIST005,CHEM139,MOL02,2025-02,178,new_sku,1
ORD0092,DIST003,CHEM035,MOL04,2025-02,100,new_sku,1
ORD0093,DIST002,CHEM018,MOL05,2025-05,80,new_sku,1
ORD0094,DIST003,CHEM082,MOL02,2025-06,35,new_sku,1
ORD0095,DIST003,CHEM106,MOL04,2025-03,246,routine,0
ORD0096,DIST002,CHEM039,MOL02,2025-01,87,new_sku,1
ORD0097,DIST005,CHEM007,MOL05,2025-05,156,new_sku,1
ORD0098,DIST002,CHEM146,MOL05,2025-02,138,new_sku,1
ORD0099,DIST002,CHEM007,MOL03,2025-01,264,new_sku,1
ORD0100,DIST002,CHEM129,MOL05,2025-04,211,new_sku,1
ORD0101,DIST002,CHEM100,MOL04,2025-04,90,new_sku,1
ORD0102,DIST001,CHEM050,MOL02,2025-01,229,new_sku,1
ORD0103,DIST002,CHEM070,MOL04,2025-02,123,new_sku,1
ORD0104,DIST003,CHEM017,MOL02,2025-04,270,new_sku,1
ORD0105,DIST001,CHEM118,MOL02,2025-04,227,new_sku,1
ORD0106,DIST005,CHEM098,MOL03,2025-04,294,new_sku,1
ORD0107,DIST004,CHEM010,MOL05,2025-01,251,new_sku,1
ORD0108,DIST004,CHEM011,MOL02,2025-05,295,new_sku,1
ORD0109,DIST001,CHEM011,MOL05,2025-04,284,new_sku,1
ORD0110,DIST003,CHEM049,MOL03,2025-04,223,new_sku,1
ORD0111,DIST003,CHEM074,MOL04,2025-02,236,new_sku,1
ORD0112,DIST004,CHEM014,MOL05,2025-02,257,new_sku,1
ORD0113,DIST005,CHEM024,MOL05,2025-01,112,new_sku,1
ORD0114,DIST003,CHEM140,MOL02,2025-04,231,routine,0
ORD0115,DIST005,CHEM116,MOL01,2025-02,252,new_sku,1
ORD0116,DIST003,CHEM052,MOL04,2025-01,148,new_sku,1
ORD0117,DIST004,CHEM042,MOL01,2025-01,78,new_sku,1
ORD0118,DIST005,CHEM093,MOL01,2025-05,216,demand_spike,0
ORD0119,DIST001,CHEM041,MOL04,2025-05,214,new_sku,1
ORD0120,DIST002,CHEM044,MOL03,2025-05,96,routine,0
ORD0121,DIST004,CHEM038,MOL02,2025-06,46,new_sku,1
ORD0122,DIST003,CHEM079,MOL03,2025-06,248,new_sku,1
ORD0123,DIST001,CHEM047,MOL01,2025-02,123,new_sku,1
ORD0124,DIST004,CHEM065,MOL01,2025-04,274,new_sku,1
ORD0125,DIST002,CHEM140,MOL01,2025-05,272,new_sku,1
ORD0126,DIST004,CHEM056,MOL05,2025-06,263,new_sku,1
ORD0127,DIST002,CHEM105,MOL04,2025-01,23,new_sku,1
ORD0128,DIST001,CHEM141,MOL03,2025-05,126,new_sku,1
ORD0129,DIST001,CHEM048,MOL02,2025-01,198,new_sku,1
ORD0130,DIST003,CHEM038,MOL01,2025-06,172,new_sku,1
ORD0131,DIST002,CHEM023,MOL01,2025-01,233,new_sku,1
ORD0132,DIST004,CHEM042,MOL03,2025-05,110,new_sku,1
ORD0133,DIST003,CHEM149,MOL03,2025-01,67,new_sku,1
ORD0134,DIST004,CHEM083,MOL03,2025-04,54,demand_spike,0
ORD0135,DIST002,CHEM141,MOL01,2025-03,261,new_sku,1
ORD0136,DIST004,CHEM032,MOL03,2025-03,289,new_sku,1
ORD0137,DIST005,CHEM135,MOL02,2025-06,127,routine,0
ORD0138,DIST001,CHEM015,MOL01,2025-05,290,new_sku,1
ORD0139,DIST004,CHEM124,MOL05,2025-06,167,new_sku,1
ORD0140,DIST002,CHEM082,MOL03,2025-05,201,new_sku,1
ORD0141,DIST004,CHEM145,MOL04,2025-05,274,new_sku,1
ORD0142,DIST002,CHEM047,MOL05,2025-02,168,new_sku,1
ORD0143,DIST001,CHEM001,MOL01,2025-01,258,new_sku,1
ORD0144,DIST001,CHEM054,MOL05,2025-04,231,new_sku,1
ORD0145,DIST001,CHEM086,MOL03,2025-05,128,new_sku,1
ORD0146,DIST003,CHEM052,MOL03,2025-03,54,new_sku,1
ORD0147,DIST001,CHEM077,MOL05,2025-05,185,new_sku,1
ORD0148,DIST005,CHEM030,MOL03,2025-03,222,new_sku,1
ORD0149,DIST003,CHEM008,MOL02,2025-02,189,new_sku,1
ORD0150,DIST004,CHEM123,MOL04,2025-01,89,new_sku,1
