doctor_id,gift_type,gift_value_INR,pre_score,post_score,roi_delta,roi_class,competitor_entrenched
DOC028,,1662,,,,Neutral,0
DOC005,,4021,,,,Neutral,0
DOC030,Conference,2840,,,,Neutral,0
DOC025,CME,1963,,,,Neutral,0
DOC002,Conference,1592,,,,Neutral,0
DOC030,Sample Kit,3856,,,,Neutral,0
DOC042,Conference,429,,,,Neutral,0
DOC008,Book,1422,,,,Neutral,0
DOC026,Sample Kit,3758,,,,Neutral,0
DOC021,Sample Kit,2604,,,,Neutral,0
DOC005,,1904,,,,Neutral,0
DOC032,Sample Kit,310,,,,Neutral,0
DOC036,Conference,2551,,,,Neutral,0
DOC019,Conference,655,,,,Neutral,0
DOC026,Conference,4139,,,,Neutral,0
DOC020,CME,2729,,,,Neutral,0
DOC047,Conference,3232,,,,Neutral,0
DOC025,CME,1019,,,,Neutral,0
DOC037,Book,4174,,,,Neutral,0
DOC041,Conference,2021,,,,Neutral,0
DOC011,,2522,,,,Neutral,0
DOC049,Sample Kit,2203,,,,Neutral,0
DOC005,Conference,1397,,,,Neutral,0
DOC024,Sample Kit,4117,,,,Neutral,0
DOC025,CME,4797,,,,Neutral,0
DOC003,,4260,,,,Neutral,0
DOC032,Book,2810,,,,Neutral,0
DOC018,,3892,,,,Neutral,0
DOC027,CME,2950,,,,Neutral,0
DOC048,Conference,666,,,,Neutral,0
DOC028,,1598,,,,Neutral,0
DOC044,CME,3949,,,,Neutral,0
DOC050,Conference,4603,,,,Neutral,0
DOC015,CME,912,,,,Neutral,0
DOC021,CME,4833,,,,Neutral,0
DOC013,Sample Kit,4257,,,,Neutral,0
DOC010,Sample Kit,4927,,,,Neutral,0
DOC010,,1011,,,,Neutral,0
DOC046,Book,3085,,,,Neutral,0
DOC020,Book,3460,,,,Neutral,0
DOC023,Book,1598,,,,Neutral,0
DOC037,Sample Kit,1718,,,,Neutral,0
DOC044,Conference,1471,,,,Neutral,0
DOC008,,1413,,,,Neutral,0
DOC050,Book,3646,,,,Neutral,0
DOC002,CME,4856,,,,Neutral,0
DOC045,CME,320,,,,Neutral,0
DOC037,CME,693,,,,Neutral,0
DOC033,CME,2034,,,,Neutral,0
DOC038,CME,4504,,,,Neutral,0
DOC017,CME,2082,,,,Neutral,0
DOC037,Sample Kit,2591,,,,Neutral,0
DOC022,CME,802,,,,Neutral,0
DOC032,,2220,,,,Neutral,0
DOC007,Sample Kit,2827,,,,Neutral,0
DOC046,,2190,,,,Neutral,0
DOC047,Conference,1499,,,,Neutral,0
DOC023,Conference,4264,,,,Neutral,0
DOC020,Book,738,,,,Neutral,0
DOC031,CME,1557,,,,Neutral,0
DOC033,Conference,1396,,,,Neutral,0
DOC008,Book,3957,,,,Neutral,0
DOC030,CME,3771,,,,Neutral,0
DOC020,Sample Kit,3293,,,,Neutral,0
DOC031,Conference,1492,,,,Neutral,0
DOC039,Book,2311,,,,Neutral,0
DOC003,CME,1635,,,,Neutral,0
DOC039,Conference,2978,,,,Neutral,0
DOC036,Conference,961,,,,Neutral,0
DOC033,,3196,,,,Neutral,0
DOC038,Book,1804,,,,Neutral,0
DOC016,Sample Kit,2215,,,,Neutral,0
DOC002,Book,4950,,,,Neutral,0
DOC014,Sample Kit,4764,,,,Neutral,0
DOC010,Sample Kit,3924,,,,Neutral,0
DOC047,Sample Kit,1455,,,,Neutral,0
DOC015,Book,1850,,,,Neutral,0
DOC039,,1485,,,,Neutral,0
DOC010,CME,2220,,,,Neutral,0
DOC047,Sample Kit,1489,,,,Neutral,0
DOC023,Conference,4929,,,,Neutral,0
DOC009,,4072,,,,Neutral,0
DOC035,CME,4759,,,,Neutral,0
DOC039,Sample Kit,647,,,,Neutral,0
DOC048,Book,3637,,,,Neutral,0
DOC011,,2113,,,,Neutral,0
DOC048,Conference,2565,,,,Neutral,0
DOC025,Sample Kit,2211,,,,Neutral,0
DOC013,CME,4670,,,,Neutral,0
DOC009,,827,,,,Neutral,0
DOC050,,306,,,,Neutral,0
DOC050,Sample Kit,2777,,,,Neutral,0
DOC024,Sample Kit,1710,,,,Neutral,0
DOC036,Book,1390,,,,Neutral,0
DOC011,CME,582,,,,Neutral,0
DOC046,Conference,1150,,,,Neutral,0
DOC037,Conference,3350,,,,Neutral,0
DOC044,Book,683,,,,Neutral,0
DOC015,Conference,3837,,,,Neutral,0
DOC026,,3983,,,,Neutral,0
DOC045,Conference,313,,,,Neutral,0
DOC010,,256,,,,Neutral,0
DOC050,Conference,1748,,,,Neutral,0
DOC014,Sample Kit,684,,,,Neutral,0
DOC005,Conference,3438,,,,Neutral,0
DOC049,Conference,3945,,,,Neutral,0
DOC035,,3187,,,,Neutral,0
DOC010,CME,3329,,,,Neutral,0
DOC023,Book,132,,,,Neutral,0
DOC020,Conference,3361,,,,Neutral,0
DOC024,Conference,2334,,,,Neutral,0
DOC042,Sample Kit,4157,,,,Neutral,0
DOC018,Sample Kit,34,,,,Neutral,0
DOC003,,4914,,,,Neutral,0
DOC040,Sample Kit,3198,,,,Neutral,0
DOC026,Sample Kit,815,,,,Neutral,0
DOC033,,1302,,,,Neutral,0
DOC014,CME,4860,,,,Neutral,0
DOC002,CME,1069,,,,Neutral,0
DOC024,CME,3389,,,,Neutral,0
DOC032,Conference,2568,,,,Neutral,0
DOC006,Conference,1632,,,,Neutral,0
DOC023,Conference,3572,,,,Neutral,0
DOC033,,4345,,,,Neutral,0
DOC026,Conference,1523,,,,Neutral,0
DOC016,Sample Kit,2575,,,,Neutral,0
DOC015,,1738,,,,Neutral,0
DOC018,Sample Kit,4926,,,,Neutral,0
DOC038,CME,4716,,,,Neutral,0
DOC022,CME,3400,,,,Neutral,0
DOC040,Conference,994,,,,Neutral,0
DOC005,Sample Kit,1128,,,,Neutral,0
DOC043,Conference,2298,,,,Neutral,0
DOC014,Sample Kit,3994,,,,Neutral,0
DOC022,Conference,1261,,,,Neutral,0
DOC007,Conference,4206,,,,Neutral,0
DOC050,Conference,1345,,,,Neutral,0
DOC037,CME,902,,,,Neutral,0
DOC023,Conference,1737,,,,Neutral,0
DOC012,CME,408,,,,Neutral,0
DOC026,Sample Kit,1401,,,,Neutral,0
DOC023,Sample Kit,3871,,,,Neutral,0
DOC049,Book,3707,,,,Neutral,0
DOC048,Book,2984,,,,Neutral,0
DOC001,CME,2211,,,,Neutral,0
DOC047,Sample Kit,1160,,,,Neutral,0
DOC032,Sample Kit,731,,,,Neutral,0
DOC025,,1433,,,,Neutral,0
DOC044,Book,2533,,,,Neutral,0
DOC023,Sample Kit,3820,,,,Neutral,0
DOC034,Conference,2361,,,,Neutral,0
DOC004,Book,5,,,,Neutral,0
DOC047,Sample Kit,263,,,,Neutral,0
DOC023,CME,2140,,,,Neutral,0
DOC039,,1140,,,,Neutral,0
DOC017,Book,701,,,,Neutral,0
