doctor_id,molecule_id,month,alert_type,priority,days_since_last_visit,days_since_last_gift,negative_count,recommended_action
DOC005,MOL01,2025-03,Competitive Displacement,HIGH,13,13,1,Schedule visit immediately
DOC050,MOL01,2025-04,Competitive Displacement,HIGH,23,23,2,Schedule visit immediately
DOC028,MOL01,2025-04,Competitive Displacement,HIGH,72,76,2,Schedule visit + carry sample kit
DOC032,MOL01,2025-05,Competitive Displacement,HIGH,14,14,1,Schedule visit immediately
DOC016,MOL01,2025-05,Competitive Displacement,HIGH,21,21,1,Schedule visit immediately
DOC043,MOL01,2025-05,Competitive Displacement,HIGH,24,24,0,Schedule visit immediately
DOC029,MOL01,2025-05,Competitive Displacement,HIGH,47,47,0,Monitor
DOC022,MOL01,2025-05,Competitive Displacement,HIGH,0,0,1,Schedule visit immediately
DOC035,MOL01,2025-05,Competitive Displacement,HIGH,61,69,1,Schedule visit + carry sample kit
DOC017,MOL01,2025-06,Competitive Displacement,HIGH,11,11,1,Schedule visit immediately
DOC020,MOL02,2025-03,Competitive Displacement,HIGH,9,9,1,Schedule visit immediately
DOC046,MOL02,2025-04,Competitive Displacement,HIGH,9,9,1,Schedule visit immediately
DOC047,MOL02,2025-04,Competitive Displacement,HIGH,11,11,0,Schedule visit immediately
DOC007,MOL02,2025-04,Competitive Displacement,HIGH,7,67,1,Schedule visit + carry sample kit
DOC046,MOL02,2025-05,Competitive Displacement,HIGH,9,9,1,Schedule visit immediately
DOC036,MOL02,2025-05,Competitive Displacement,HIGH,4,70,2,Schedule visit + carry sample kit
DOC039,MOL02,2025-06,Competitive Displacement,HIGH,2,12,1,Schedule visit immediately
DOC013,MOL02,2025-06,Competitive Displacement,HIGH,21,29,2,Schedule visit immediately
DOC009,MOL02,2025-06,Competitive Displacement,HIGH,44,74,2,Schedule visit + carry sample kit
DOC016,MOL02,2025-06,Competitive Displacement,HIGH,21,21,1,Schedule visit immediately
DOC037,MOL02,2025-06,Competitive Displacement,HIGH,10,10,0,Schedule visit immediately
DOC021,MOL03,2025-03,Competitive Displacement,HIGH,14,112,2,Schedule visit + carry sample kit
DOC020,MOL03,2025-03,Competitive Displacement,HIGH,9,9,1,Schedule visit immediately
DOC037,MOL03,2025-04,Competitive Displacement,HIGH,10,10,0,Schedule visit immediately
DOC021,MOL03,2025-04,Competitive Displacement,HIGH,14,112,2,Schedule visit + carry sample kit
DOC011,MOL03,2025-04,Competitive Displacement,HIGH,11,41,0,Monitor
DOC028,MOL03,2025-04,Competitive Displacement,HIGH,72,76,2,Schedule visit + carry sample kit
DOC009,MOL03,2025-05,Competitive Displacement,HIGH,44,74,2,Schedule visit + carry sample kit
DOC046,MOL03,2025-05,Competitive Displacement,HIGH,9,9,1,Schedule visit immediately
DOC027,MOL03,2025-05,Competitive Displacement,HIGH,1,16,1,Schedule visit immediately
DOC015,MOL03,2025-05,Competitive Displacement,HIGH,0,0,1,Schedule visit immediately
DOC048,MOL03,2025-05,Competitive Displacement,HIGH,13,13,1,Schedule visit immediately
DOC010,MOL03,2025-05,Competitive Displacement,HIGH,0,64,0,Schedule visit + carry sample kit
DOC040,MOL03,2025-06,Competitive Displacement,HIGH,18,18,1,Schedule visit immediately
DOC029,MOL03,2025-06,Competitive Displacement,HIGH,47,47,0,Monitor
DOC025,MOL04,2025-04,Competitive Displacement,HIGH,2,2,1,Schedule visit immediately
DOC038,MOL04,2025-04,Competitive Displacement,HIGH,96,96,1,Schedule visit + carry sample kit
DOC039,MOL04,2025-04,Competitive Displacement,HIGH,2,12,1,Schedule visit immediately
DOC044,MOL04,2025-04,Competitive Displacement,HIGH,26,26,2,Schedule visit immediately
DOC014,MOL04,2025-05,Competitive Displacement,HIGH,9,11,0,Schedule visit immediately
DOC020,MOL04,2025-05,Competitive Displacement,HIGH,9,9,1,Schedule visit immediately
DOC011,MOL04,2025-05,Competitive Displacement,HIGH,11,41,0,Monitor
DOC039,MOL04,2025-05,Competitive Displacement,HIGH,2,12,1,Schedule visit immediately
DOC010,MOL04,2025-05,Competitive Displacement,HIGH,0,64,0,Schedule visit + carry sample kit
DOC022,MOL04,2025-05,Competitive Displacement,HIGH,0,0,1,Schedule visit immediately
DOC034,MOL04,2025-05,Competitive Displacement,HIGH,6,6,1,Schedule visit immediately
DOC049,MOL04,2025-06,Competitive Displacement,HIGH,11,31,1,Monitor
DOC008,MOL04,2025-06,Competitive Displacement,HIGH,0,0,0,Schedule visit immediately
DOC045,MOL04,2025-06,Competitive Displacement,HIGH,14,70,0,Schedule visit + carry sample kit
DOC037,MOL04,2025-06,Competitive Displacement,HIGH,10,10,0,Schedule visit immediately
DOC004,MOL05,2025-03,Competitive Displacement,HIGH,40,88,2,Schedule visit + carry sample kit
DOC024,MOL05,2025-03,Competitive Displacement,HIGH,3,3,1,Schedule visit immediately
DOC018,MOL05,2025-03,Competitive Displacement,HIGH,20,20,3,Schedule visit immediately
DOC012,MOL05,2025-03,Competitive Displacement,HIGH,13,13,1,Schedule visit immediately
DOC005,MOL05,2025-03,Competitive Displacement,HIGH,13,13,1,Schedule visit immediately
DOC046,MOL05,2025-03,Competitive Displacement,HIGH,9,9,1,Schedule visit immediately
DOC045,MOL05,2025-04,Competitive Displacement,HIGH,14,70,0,Schedule visit + carry sample kit
DOC047,MOL05,2025-05,Competitive Displacement,HIGH,11,11,0,Schedule visit immediately
DOC003,MOL05,2025-05,Competitive Displacement,HIGH,0,0,1,Schedule visit immediately
DOC020,MOL05,2025-05,Competitive Displacement,HIGH,9,9,1,Schedule visit immediately
DOC008,MOL05,2025-06,Competitive Displacement,HIGH,0,0,0,Schedule visit immediately
DOC048,MOL05,2025-06,Competitive Displacement,HIGH,13,13,1,Schedule visit immediately
DOC036,MOL05,2025-06,Competitive Displacement,HIGH,4,70,2,Schedule visit + carry sample kit
DOC041,MOL01,2025-02,Rank Collapse,HIGH,19,32,1,Monitor
DOC003,MOL01,2025-02,Rank Collapse,HIGH,0,0,1,Monitor
DOC020,MOL01,2025-02,Rank Collapse,HIGH,9,9,1,Monitor
DOC030,MOL01,2025-02,Rank Collapse,HIGH,5,32,1,Monitor
DOC033,MOL01,2025-02,Rank Collapse,HIGH,8,8,0,Monitor
DOC027,MOL01,2025-02,Rank Collapse,HIGH,1,16,1,Monitor
DOC043,MOL01,2025-02,Rank Collapse,HIGH,24,24,0,Monitor
DOC005,MOL01,2025-02,Rank Collapse,HIGH,13,13,1,Monitor
DOC031,MOL01,2025-02,Rank Collapse,HIGH,6,6,1,Monitor
DOC045,MOL01,2025-03,Rank Collapse,HIGH,14,70,0,Monitor
DOC028,MOL01,2025-03,Rank Collapse,HIGH,72,76,2,Monitor
DOC050,MOL01,2025-03,Rank Collapse,HIGH,23,23,2,Monitor
DOC046,MOL01,2025-03,Rank Collapse,HIGH,9,9,1,Monitor
DOC017,MOL01,2025-03,Rank Collapse,HIGH,11,11,1,Monitor
DOC002,MOL01,2025-03,Rank Collapse,HIGH,6,6,2,Monitor
DOC029,MOL01,2025-04,Rank Collapse,HIGH,47,47,0,Monitor
DOC038,MOL01,2025-04,Rank Collapse,HIGH,96,96,1,Monitor
DOC049,MOL01,2025-04,Rank Collapse,HIGH,11,31,1,Monitor
DOC035,MOL01,2025-04,Rank Collapse,HIGH,61,69,1,Monitor
DOC042,MOL01,2025-04,Rank Collapse,HIGH,5,16,2,Monitor
DOC010,MOL01,2025-04,Rank Collapse,HIGH,0,64,0,Monitor
DOC023,MOL01,2025-04,Rank Collapse,HIGH,8,11,2,Monitor
DOC015,MOL01,2025-04,Rank Collapse,HIGH,0,0,1,Monitor
DOC001,MOL01,2025-04,Rank Collapse,HIGH,12,41,0,Monitor
DOC026,MOL01,2025-04,Rank Collapse,HIGH,10,10,1,Monitor
DOC006,MOL01,2025-04,Rank Collapse,HIGH,1,1,1,Monitor
DOC034,MOL01,2025-04,Rank Collapse,HIGH,6,6,1,Monitor
DOC022,MOL01,2025-04,Rank Collapse,HIGH,0,0,1,Monitor
DOC028,MOL01,2025-04,Rank Collapse,HIGH,72,76,2,Monitor
DOC016,MOL01,2025-05,Rank Collapse,HIGH,21,21,1,Monitor
DOC011,MOL01,2025-05,Rank Collapse,HIGH,11,41,0,Monitor
DOC041,MOL01,2025-05,Rank Collapse,HIGH,19,32,1,Monitor
