complaint_id,chemist_id,molecule_id,month,complaint_type,resolved
COMP0001,CHEM067,MOL02,2025-04,substituted,0
COMP0002,CHEM030,MOL05,2025-06,overpriced,0
COMP0003,CHEM122,MOL02,2025-04,overpriced,1
COMP0004,CHEM096,MOL05,2025-04,overpriced,0
COMP0005,CHEM083,MOL01,2025-06,substituted,0
COMP0006,CHEM041,MOL04,2025-04,substituted,1
COMP0007,CHEM026,MOL02,2025-03,substituted,0
COMP0008,CHEM120,MOL05,2025-02,unavailable,1
COMP0009,CHEM117,MOL05,2025-05,overpriced,1
COMP0010,CHEM103,MOL04,2025-02,substituted,1
COMP0011,CHEM087,MOL04,2025-06,substituted,1
COMP0012,CHEM011,MOL02,2025-05,unavailable,1
COMP0013,CHEM110,MOL03,2025-05,substituted,0
COMP0014,CHEM042,MOL05,2025-02,substituted,0
COMP0015,CHEM146,MOL02,2025-02,overpriced,1
COMP0016,CHEM014,MOL01,2025-03,unavailable,1
COMP0017,CHEM118,MOL04,2025-02,substituted,0
COMP0018,CHEM038,MOL02,2025-02,substituted,1
COMP0019,CHEM021,MOL02,2025-02,unavailable,1
COMP0020,CHEM024,MOL02,2025-02,overpriced,1
COMP0021,CHEM002,MOL04,2025-02,substituted,0
COMP0022,CHEM121,MOL05,2025-06,substituted,0
COMP0023,CHEM121,MOL04,2025-04,overpriced,0
COMP0024,CHEM025,MOL04,2025-02,substituted,0
COMP0025,CHEM103,MOL03,2025-03,overpriced,1
COMP0026,CHEM101,MOL05,2025-01,substituted,1
COMP0027,CHEM007,MOL02,2025-05,unavailable,0
COMP0028,CHEM095,MOL03,2025-03,overpriced,0
COMP0029,CHEM102,MOL01,2025-06,unavailable,0
COMP0030,CHEM128,MOL02,2025-01,unavailable,1
COMP0031,CHEM112,MOL01,2025-03,substituted,0
COMP0032,CHEM109,MOL02,2025-03,substituted,1
COMP0033,CHEM124,MOL01,2025-03,substituted,0
COMP0034,CHEM042,MOL04,2025-06,overpriced,0
COMP0035,CHEM120,MOL01,2025-03,overpriced,0
COMP0036,CHEM104,MOL01,2025-02,substituted,0
COMP0037,CHEM148,MOL05,2025-04,overpriced,1
COMP0038,CHEM003,MOL04,2025-06,overpriced,1
COMP0039,CHEM109,MOL01,2025-03,substituted,1
COMP0040,CHEM030,MOL05,2025-04,overpriced,1
COMP0041,CHEM122,MOL03,2025-05,substituted,0
COMP0042,CHEM046,MOL04,2025-05,substituted,0
COMP0043,CHEM039,MOL01,2025-03,overpriced,1
COMP0044,CHEM051,MOL05,2025-05,overpriced,1
COMP0045,CHEM112,MOL01,2025-04,substituted,0
COMP0046,CHEM032,MOL04,2025-04,substituted,0
COMP0047,CHEM095,MOL03,2025-04,substituted,1
COMP0048,CHEM007,MOL05,2025-03,unavailable,1
COMP0049,CHEM092,MOL04,2025-01,substituted,1
COMP0050,CHEM077,MOL01,2025-05,unavailable,1
