doctor_id,molecule_id,month,hybrid_score,rank,mom_delta_pct,consecutive_decline,rank_drop_alert,new_prescriber_flag,high_leakage_doctor
DOC002,MOL01,2025-01,100.0,1,,0,0,1,0.0
DOC020,MOL01,2025-01,98.67439933719967,2,,0,0,1,0.0
DOC043,MOL01,2025-01,96.71003141321178,3,,0,0,1,0.0
DOC005,MOL01,2025-01,75.47638773819388,4,,0,0,1,0.0
DOC041,MOL01,2025-01,73.22598773074378,5,,0,0,1,1.0
DOC038,MOL01,2025-01,67.02568351284175,6,,0,0,1,0.0
DOC016,MOL01,2025-01,63.63494106497091,7,,0,0,1,1.0
DOC003,MOL01,2025-01,63.04888152444076,8,,0,0,1,0.0
DOC026,MOL01,2025-01,62.23055120979093,9,,0,0,1,0.0
DOC045,MOL01,2025-01,56.34447363422071,10,,0,0,1,1.0
DOC023,MOL01,2025-01,56.03590329226053,11,,0,0,1,0.0
DOC032,MOL01,2025-01,53.16960712245369,12,,0,0,1,1.0
DOC030,MOL01,2025-01,49.642369843935,13,,0,0,1,1.0
DOC017,MOL01,2025-01,46.147473073736535,14,,0,0,1,0.0
DOC029,MOL01,2025-01,45.90833652116124,15,,0,0,1,0.0
DOC031,MOL01,2025-01,40.67937033968518,16,,0,0,1,0.0
DOC049,MOL01,2025-01,32.34650312794156,17,,0,0,1,1.0
DOC033,MOL01,2025-01,31.506737822478364,18,,0,0,1,0.0
DOC015,MOL01,2025-01,28.739283356504718,19,,0,0,1,1.0
DOC046,MOL01,2025-01,27.678474056090277,20,,0,0,1,1.0
DOC001,MOL01,2025-01,27.387094729148053,21,,0,0,1,0.0
DOC027,MOL01,2025-01,26.014913007456503,22,,0,0,1,0.0
DOC010,MOL01,2025-01,25.98426268792088,23,,0,0,1,1.0
DOC028,MOL01,2025-01,22.486266036602203,24,,0,0,1,1.0
DOC007,MOL01,2025-01,20.29826014913008,25,,0,0,1,0.0
DOC050,MOL01,2025-01,18.6070303699058,26,,0,0,1,0.0
DOC042,MOL01,2025-01,18.42098369439468,27,,0,0,1,0.0
DOC014,MOL01,2025-01,10.35625517812759,28,,0,0,1,0.0
DOC025,MOL01,2025-01,5.965202982601491,29,,0,0,1,0.0
DOC011,MOL01,2025-01,0.0,30,,0,0,0,0.0
DOC011,MOL01,2025-02,100.0,1,,0,0,0,0.0
DOC035,MOL01,2025-02,87.42065781881132,2,,0,0,1,0.0
DOC032,MOL01,2025-02,57.78762779755249,3,8.685451943368964,0,0,0,0.0
DOC045,MOL01,2025-02,56.49360408495239,4,0.2646762692288271,0,0,0,1.0
DOC021,MOL01,2025-02,56.08770917484132,5,,0,0,1,0.0
DOC016,MOL01,2025-02,54.63654629331225,6,-14.140650751088698,0,0,0,1.0
DOC014,MOL01,2025-02,46.393537218695904,7,347.97599538372765,0,0,0,0.0
DOC050,MOL01,2025-02,40.00852912486605,8,115.01834698767463,0,0,0,1.0
DOC026,MOL01,2025-02,37.68929823761998,9,-39.43602056397951,0,0,0,0.0
DOC028,MOL01,2025-02,35.92012359637273,10,59.74250032399091,0,0,0,0.0
DOC023,MOL01,2025-02,35.24186765546639,11,-37.10841516793418,0,0,0,0.0
DOC041,MOL01,2025-02,34.586350476717456,12,-52.76765592579853,0,1,0,0.0
DOC006,MOL01,2025-02,33.41027120600116,13,,0,0,1,0.0
DOC034,MOL01,2025-02,33.41027120600116,13,,0,0,1,0.0
DOC010,MOL01,2025-02,30.023053995087945,15,15.543220739700079,0,0,0,1.0
DOC003,MOL01,2025-02,27.524523946912872,16,-56.34415190023149,0,1,0,0.0
DOC046,MOL01,2025-02,27.431783572211227,17,-0.8912719804535932,0,0,0,0.0
DOC029,MOL01,2025-02,25.56176868933437,18,-44.31998493878821,0,0,0,0.0
DOC049,MOL01,2025-02,23.41156879754366,19,-27.622566479774207,0,0,0,1.0
DOC020,MOL01,2025-02,20.31159838430468,20,-79.41553379525126,0,1,0,0.0
DOC042,MOL01,2025-02,18.655856188762748,21,1.2750268838223808,0,0,0,1.0
DOC001,MOL01,2025-02,17.52114725387725,22,-36.02407474338813,0,0,0,0.0
DOC015,MOL01,2025-02,15.337935441428456,23,-46.630765801761235,0,0,0,0.0
DOC022,MOL01,2025-02,14.714368147720716,24,,0,0,1,0.0
DOC030,MOL01,2025-02,12.80049641543812,25,-74.2145742524377,0,1,0,1.0
DOC012,MOL01,2025-02,11.944604731679169,26,,0,0,1,0.0
DOC033,MOL01,2025-02,10.292909712465384,27,-67.33108400349226,0,1,0,0.0
DOC027,MOL01,2025-02,10.271206001154068,28,-60.51800750511796,0,1,0,0.0
DOC043,MOL01,2025-02,8.71708338070417,29,-90.98637105859392,0,1,0,1.0
DOC018,MOL01,2025-02,8.482400461627236,30,,0,0,1,0.0
DOC024,MOL01,2025-02,8.19388343912291,31,,0,0,1,0.0
DOC005,MOL01,2025-02,7.270628967109059,32,-90.36701518847352,0,1,0,0.0
DOC031,MOL01,2025-02,6.116560877091748,33,-84.9639735669048,0,1,0,0.0
DOC039,MOL01,2025-02,4.5008655510675135,34,,0,0,1,0.0
DOC019,MOL01,2025-02,0.0,35,,0,0,0,0.0
DOC029,MOL01,2025-03,100.0,1,291.209236009263,0,0,0,0.0
DOC038,MOL01,2025-03,80.42545799952993,2,19.991999759496448,0,0,0,0.0
DOC032,MOL01,2025-03,78.90758733400307,3,36.54754545460869,0,0,0,1.0
DOC026,MOL01,2025-03,75.1645701142397,4,99.43212962032115,0,0,0,0.0
DOC003,MOL01,2025-03,71.80590049913744,5,160.87971816562927,0,0,0,0.0
DOC049,MOL01,2025-03,65.89289642955993,6,181.4544253714147,0,0,0,1.0
DOC001,MOL01,2025-03,62.76304009838773,7,258.2130735445929,0,0,0,1.0
DOC016,MOL01,2025-03,60.60881524282019,8,10.930904961390237,0,0,0,1.0
DOC015,MOL01,2025-03,58.52422424774066,9,281.5652013351425,0,0,0,1.0
DOC042,MOL01,2025-03,52.18264900002024,10,179.71189567516163,0,0,0,1.0
DOC030,MOL01,2025-03,47.08789006620874,11,267.8598746328158,0,0,0,0.0
DOC043,MOL01,2025-03,43.86812749601282,12,403.2431787117899,0,0,0,0.0
DOC009,MOL01,2025-03,40.60452706796462,13,,0,0,1,0.0
DOC010,MOL01,2025-03,37.42641921145714,14,24.65893448941088,0,0,0,1.0
DOC023,MOL01,2025-03,34.12503491923424,15,-3.169050934390312,0,0,0,0.0
DOC041,MOL01,2025-03,33.42456464728249,16,-3.359087655741677,0,0,0,0.0
DOC045,MOL01,2025-03,32.562376807177905,17,-42.36094981971383,0,1,0,0.0
DOC028,MOL01,2025-03,29.13324332247208,18,-18.894367820566195,0,1,0,1.0
