rep_id,doctor_id,molecule_id,month,hybrid_score,rank,days_since_last_visit,overdue_high_value,untapped_opportunity,urgent_intervention,nurture_new_prescriber,rep_overloaded
REP008,DOC002,MOL01,2025-01,100.0,1,6,0,0,0,0,0
REP004,DOC002,MOL01,2025-01,100.0,1,6,0,0,0,0,1
REP005,DOC002,MOL01,2025-01,100.0,1,6,0,0,0,0,1
REP003,DOC002,MOL01,2025-01,100.0,1,6,0,0,0,0,1
REP007,DOC002,MOL01,2025-01,100.0,1,6,0,0,0,0,1
REP007,DOC020,MOL01,2025-01,98.67439933719967,2,9,0,0,0,1,1
REP008,DOC020,MOL01,2025-01,98.67439933719967,2,9,0,0,0,1,0
REP004,DOC020,MOL01,2025-01,98.67439933719967,2,9,0,0,0,1,1
REP006,DOC020,MOL01,2025-01,98.67439933719967,2,9,0,0,0,1,1
REP005,DOC020,MOL01,2025-01,98.67439933719967,2,9,0,0,0,1,1
REP002,DOC043,MOL01,2025-01,96.71003141321178,3,24,0,0,0,1,0
REP008,DOC043,MOL01,2025-01,96.71003141321178,3,24,0,0,0,1,0
REP001,DOC043,MOL01,2025-01,96.71003141321178,3,24,0,0,0,1,1
REP005,DOC043,MOL01,2025-01,96.71003141321178,3,24,0,0,0,1,1
REP004,DOC043,MOL01,2025-01,96.71003141321178,3,24,0,0,0,1,1
REP008,DOC005,MOL01,2025-01,75.47638773819388,4,13,0,0,0,1,0
REP004,DOC005,MOL01,2025-01,75.47638773819388,4,13,0,0,0,1,1
REP002,DOC005,MOL01,2025-01,75.47638773819388,4,13,0,0,0,1,0
REP007,DOC005,MOL01,2025-01,75.47638773819388,4,13,0,0,0,1,1
REP003,DOC005,MOL01,2025-01,75.47638773819388,4,13,0,0,0,1,1
REP005,DOC005,MOL01,2025-01,75.47638773819388,4,13,0,0,0,1,1
REP006,DOC005,MOL01,2025-01,75.47638773819388,4,13,0,0,0,1,1
REP008,DOC041,MOL01,2025-01,73.22598773074378,5,19,0,0,0,1,0
REP007,DOC041,MOL01,2025-01,73.22598773074378,5,19,0,0,0,1,1
REP003,DOC041,MOL01,2025-01,73.22598773074378,5,19,0,0,0,1,1
REP006,DOC041,MOL01,2025-01,73.22598773074378,5,19,0,0,0,1,1
REP009,DOC038,MOL01,2025-01,67.02568351284175,6,96,1,0,0,1,1
REP010,DOC038,MOL01,2025-01,67.02568351284175,6,96,1,0,0,1,0
REP004,DOC038,MOL01,2025-01,67.02568351284175,6,96,1,0,0,1,1
REP002,DOC038,MOL01,2025-01,67.02568351284175,6,96,1,0,0,1,0
REP006,DOC038,MOL01,2025-01,67.02568351284175,6,96,1,0,0,1,1
REP005,DOC016,MOL01,2025-01,63.63494106497091,7,21,0,0,0,1,1
REP006,DOC016,MOL01,2025-01,63.63494106497091,7,21,0,0,0,1,1
REP009,DOC016,MOL01,2025-01,63.63494106497091,7,21,0,0,0,1,1
REP003,DOC016,MOL01,2025-01,63.63494106497091,7,21,0,0,0,1,1
REP001,DOC016,MOL01,2025-01,63.63494106497091,7,21,0,0,0,1,1
REP010,DOC016,MOL01,2025-01,63.63494106497091,7,21,0,0,0,1,0
